SKU,ItemName,Category,Material,Color,WarehouseLocation,Quantity,Supplier,LastUpdated,Description
WRD-G-WHT-0006,Vintage Glass Wardrobe,Wardrobe,Glass,White,C3-R1,114,Nova Supplies,27/07/2025,"Vintage Glass Wardrobe - Glass White design, sourced from Nova Supplies."
SOF-G-NAT-0006,Cozy Natural Glass Sofa,Sofa,Glass,Natural,A1-R2,91,Nova Supplies,14/05/2025,"Cozy Natural Glass Sofa - Glass Natural design, sourced from Nova Supplies."
TAB-F-BGE-0004,Elegant Fabric Table,Table,Fabric,Beige,C5-R4,211,Classic Interiors,05/04/2025,"Elegant Fabric Table - Fabric Beige design, sourced from Classic Interiors."
CAB-M-BLK-0002,Premium Metal Cabinet,Cabinet,Metal,Black,D5-R3,148,Nova Supplies,31/12/2024,"Premium Metal Cabinet - Metal Black design, sourced from Nova Supplies."
BSF-G-OAK-0003,Stylish Glass Bookshelf,Bookshelf,Glass,Oak,C4-R4,126,Global Furnish,24/05/2025,"Stylish Glass Bookshelf - Glass Oak design, sourced from Global Furnish."
CAB-R-GRY-0004,Deluxe Rattan Cabinet,Cabinet,Rattan,Grey,B4-R1,402,FurniWorld,06/06/2025,"Deluxe Rattan Cabinet - Rattan Grey design, sourced from FurniWorld."
BNH-W-BLU-0003,Vintage Blue Wood Bench,Bench,Wood,Blue,D5-R2,301,Classic Interiors,02/01/2025,"Vintage Blue Wood Bench - Wood Blue design, sourced from Classic Interiors."
BED-R-OAK-0006,Vintage Oak Rattan Bed,Bed,Rattan,Oak,C5-R2,145,Classic Interiors,19/01/2025,"Vintage Oak Rattan Bed - Rattan Oak design, sourced from Classic Interiors."
CAB-P-OAK-0002,Classic Plastic Cabinet,Cabinet,Plastic,Oak,D2-R4,388,Urban Living,27/08/2025,"Classic Plastic Cabinet - Plastic Oak design, sourced from Urban Living."
BED-L-NAT-0003,Premium Natural Leather Bed,Bed,Leather,Natural,D2-R1,215,Urban Living,04/01/2025,"Premium Natural Leather Bed - Leather Natural design, sourced from Urban Living."
CNS-C-GRY-0006,Vintage Composite Console,Console,Composite,Grey,D3-R1,328,Global Furnish,19/09/2025,"Vintage Composite Console - Composite Grey design, sourced from Global Furnish."
BED-F-BLK-0004,Classic Black Fabric Bed,Bed,Fabric,Black,D4-R2,228,Urban Living,09/10/2025,"Classic Black Fabric Bed - Fabric Black design, sourced from Urban Living."
CNS-F-BLK-0003,Cozy Fabric Console,Console,Fabric,Black,A2-R2,245,Nova Supplies,08/06/2025,"Cozy Fabric Console - Fabric Black design, sourced from Nova Supplies."
STL-G-GRY-0003,Deluxe Grey Glass Stool,Stool,Glass,Grey,C4-R1,189,Nova Supplies,13/03/2025,"Deluxe Grey Glass Stool - Glass Grey design, sourced from Nova Supplies."
BNH-F-WHT-0005,Classic White Fabric Bench,Bench,Fabric,White,B3-R4,5,Homedecor Co.,08/06/2025,"Classic White Fabric Bench - Fabric White design, sourced from Homedecor Co.."
CAB-P-OAK-0003,Stylish Plastic Cabinet,Cabinet,Plastic,Oak,A3-R1,75,Classic Interiors,23/01/2025,"Stylish Plastic Cabinet - Plastic Oak design, sourced from Classic Interiors."
SOF-L-WHT-0002,Premium White Leather Sofa,Sofa,Leather,White,A4-R2,69,FurniWorld,28/07/2025,"Premium White Leather Sofa - Leather White design, sourced from FurniWorld."
CNS-C-BRN-0004,Stylish Composite Console,Console,Composite,Brown,C2-R2,270,EverWood,04/08/2025,"Stylish Composite Console - Composite Brown design, sourced from EverWood."
DSK-G-GRN-0004,Classic Glass Desk,Desk,Glass,Green,D3-R4,481,EverWood,30/09/2025,"Classic Glass Desk - Glass Green design, sourced from EverWood."
BNH-M-BLK-0004,Deluxe Black Metal Bench,Bench,Metal,Black,C2-R3,282,Global Furnish,05/08/2025,"Deluxe Black Metal Bench - Metal Black design, sourced from Global Furnish."
CAB-G-BLU-0006,Stylish Glass Cabinet,Cabinet,Glass,Blue,B3-R1,43,FurniWorld,18/07/2025,"Stylish Glass Cabinet - Glass Blue design, sourced from FurniWorld."
STL-G-RED-0005,Compact Red Glass Stool,Stool,Glass,Red,B5-R2,455,Urban Living,04/08/2025,"Compact Red Glass Stool - Glass Red design, sourced from Urban Living."
BSF-F-WHT-0005,Classic Fabric Bookshelf,Bookshelf,Fabric,White,B3-R4,99,Global Furnish,20/03/2025,"Classic Fabric Bookshelf - Fabric White design, sourced from Global Furnish."
CAB-F-OAK-0004,Stylish Fabric Cabinet,Cabinet,Fabric,Oak,B2-R3,335,FurniWorld,31/10/2025,"Stylish Fabric Cabinet - Fabric Oak design, sourced from FurniWorld."
CAB-M-GRN-0004,Vintage Metal Cabinet,Cabinet,Metal,Green,C4-R2,258,EverWood,06/02/2025,"Vintage Metal Cabinet - Metal Green design, sourced from EverWood."
SOF-L-BGE-0003,Premium Beige Leather Sofa,Sofa,Leather,Beige,A5-R3,291,Global Furnish,28/04/2025,"Premium Beige Leather Sofa - Leather Beige design, sourced from Global Furnish."
BNH-L-WHT-0007,Modern White Leather Bench,Bench,Leather,White,D1-R3,224,Global Furnish,08/10/2025,"Modern White Leather Bench - Leather White design, sourced from Global Furnish."
DRS-R-GRY-0004,Classic Rattan Dresser,Dresser,Rattan,Grey,B5-R3,106,Nova Supplies,11/10/2025,"Classic Rattan Dresser - Rattan Grey design, sourced from Nova Supplies."
CHR-M-BGE-0004,Premium Beige Metal Chair,Chair,Metal,Beige,A2-R3,83,Urban Living,27/01/2025,"Premium Beige Metal Chair - Metal Beige design, sourced from Urban Living."
BNH-R-BLU-0005,Stylish Blue Rattan Bench,Bench,Rattan,Blue,C1-R4,92,ComfortLine,21/05/2025,"Stylish Blue Rattan Bench - Rattan Blue design, sourced from ComfortLine."
CNS-F-GRY-0005,Compact Fabric Console,Console,Fabric,Grey,A5-R2,266,Urban Living,25/12/2024,"Compact Fabric Console - Fabric Grey design, sourced from Urban Living."
BED-L-WHT-0003,Classic White Leather Bed,Bed,Leather,White,A5-R2,169,EverWood,20/01/2025,"Classic White Leather Bed - Leather White design, sourced from EverWood."
TAB-M-GRY-0002,Classic Metal Table,Table,Metal,Grey,B3-R2,11,Classic Interiors,31/07/2025,"Classic Metal Table - Metal Grey design, sourced from Classic Interiors."
CAB-P-GRN-0004,Cozy Plastic Cabinet,Cabinet,Plastic,Green,A3-R1,375,FurniWorld,01/12/2024,"Cozy Plastic Cabinet - Plastic Green design, sourced from FurniWorld."
BSF-C-BRN-0002,Classic Composite Bookshelf,Bookshelf,Composite,Brown,C5-R1,438,EverWood,29/08/2025,"Classic Composite Bookshelf - Composite Brown design, sourced from EverWood."
DRS-G-BRN-0003,Compact Glass Dresser,Dresser,Glass,Brown,A2-R4,88,Global Furnish,16/12/2024,"Compact Glass Dresser - Glass Brown design, sourced from Global Furnish."
DSK-M-RED-0003,Modern Metal Desk,Desk,Metal,Red,B1-R3,466,Classic Interiors,16/01/2025,"Modern Metal Desk - Metal Red design, sourced from Classic Interiors."
STL-R-GRN-0002,Elegant Green Rattan Stool,Stool,Rattan,Green,B3-R3,14,Classic Interiors,24/06/2025,"Elegant Green Rattan Stool - Rattan Green design, sourced from Classic Interiors."
CNS-F-RED-0003,Elegant Fabric Console,Console,Fabric,Red,D3-R2,151,ComfortLine,06/10/2025,"Elegant Fabric Console - Fabric Red design, sourced from ComfortLine."
BNH-L-BLK-0002,Cozy Black Leather Bench,Bench,Leather,Black,B1-R1,490,Urban Living,06/12/2024,"Cozy Black Leather Bench - Leather Black design, sourced from Urban Living."
CHR-R-RED-0005,Premium Red Rattan Chair,Chair,Rattan,Red,A2-R4,224,EverWood,30/06/2025,"Premium Red Rattan Chair - Rattan Red design, sourced from EverWood."
WRD-C-BLK-0007,Cozy Composite Wardrobe,Wardrobe,Composite,Black,D1-R4,164,Global Furnish,12/04/2025,"Cozy Composite Wardrobe - Composite Black design, sourced from Global Furnish."
TAB-F-OAK-0001,Classic Fabric Table,Table,Fabric,Oak,C3-R2,184,Classic Interiors,08/02/2025,"Classic Fabric Table - Fabric Oak design, sourced from Classic Interiors."
DRS-F-GRN-0003,Elegant Fabric Dresser,Dresser,Fabric,Green,C1-R4,258,FurniWorld,09/08/2025,"Elegant Fabric Dresser - Fabric Green design, sourced from FurniWorld."
CHR-G-NAT-0002,Classic Natural Glass Chair,Chair,Glass,Natural,D4-R3,400,Nova Supplies,26/04/2025,"Classic Natural Glass Chair - Glass Natural design, sourced from Nova Supplies."
BSF-R-OAK-0002,Minimal Rattan Bookshelf,Bookshelf,Rattan,Oak,A5-R3,484,Classic Interiors,06/03/2025,"Minimal Rattan Bookshelf - Rattan Oak design, sourced from Classic Interiors."
BED-M-GRN-0003,Vintage Green Metal Bed,Bed,Metal,Green,A3-R2,406,Urban Living,19/09/2025,"Vintage Green Metal Bed - Metal Green design, sourced from Urban Living."
CHR-W-BLK-0002,Classic Black Wood Chair,Chair,Wood,Black,A4-R4,271,ComfortLine,20/02/2025,"Classic Black Wood Chair - Wood Black design, sourced from ComfortLine."
SOF-M-BRN-0003,Minimal Brown Metal Sofa,Sofa,Metal,Brown,C4-R2,413,Homedecor Co.,02/12/2024,"Minimal Brown Metal Sofa - Metal Brown design, sourced from Homedecor Co.."
TAB-C-RED-0004,Cozy Composite Table,Table,Composite,Red,B5-R2,355,Homedecor Co.,22/12/2024,"Cozy Composite Table - Composite Red design, sourced from Homedecor Co.."
BED-F-BRN-0006,Modern Brown Fabric Bed,Bed,Fabric,Brown,D4-R4,497,Global Furnish,19/11/2024,"Modern Brown Fabric Bed - Fabric Brown design, sourced from Global Furnish."
DSK-F-NAT-0005,Premium Fabric Desk,Desk,Fabric,Natural,A4-R3,252,FurniWorld,13/08/2025,"Premium Fabric Desk - Fabric Natural design, sourced from FurniWorld."
CHR-F-GRN-0007,Stylish Green Fabric Chair,Chair,Fabric,Green,B4-R1,127,Classic Interiors,28/01/2025,"Stylish Green Fabric Chair - Fabric Green design, sourced from Classic Interiors."
DRS-F-WHT-0006,Classic Fabric Dresser,Dresser,Fabric,White,C2-R3,438,Global Furnish,25/08/2025,"Classic Fabric Dresser - Fabric White design, sourced from Global Furnish."
CHR-W-BLU-0003,Elegant Blue Wood Chair,Chair,Wood,Blue,C3-R1,347,Nova Supplies,24/11/2024,"Elegant Blue Wood Chair - Wood Blue design, sourced from Nova Supplies."
CAB-P-GRY-0006,Compact Plastic Cabinet,Cabinet,Plastic,Grey,A1-R1,354,Classic Interiors,29/07/2025,"Compact Plastic Cabinet - Plastic Grey design, sourced from Classic Interiors."
CAB-R-OAK-0002,Cozy Rattan Cabinet,Cabinet,Rattan,Oak,A1-R3,156,ComfortLine,22/02/2025,"Cozy Rattan Cabinet - Rattan Oak design, sourced from ComfortLine."
BNH-G-RED-0004,Deluxe Red Glass Bench,Bench,Glass,Red,C5-R4,10,Urban Living,04/11/2025,"Deluxe Red Glass Bench - Glass Red design, sourced from Urban Living."
DSK-P-BGE-0002,Premium Plastic Desk,Desk,Plastic,Beige,A3-R2,313,Nova Supplies,04/08/2025,"Premium Plastic Desk - Plastic Beige design, sourced from Nova Supplies."
WRD-C-GRN-0002,Deluxe Composite Wardrobe,Wardrobe,Composite,Green,D5-R4,359,Urban Living,20/04/2025,"Deluxe Composite Wardrobe - Composite Green design, sourced from Urban Living."
BSF-M-WHT-0006,Vintage Metal Bookshelf,Bookshelf,Metal,White,C1-R1,212,Classic Interiors,25/06/2025,"Vintage Metal Bookshelf - Metal White design, sourced from Classic Interiors."
CHR-C-GRN-0004,Cozy Green Composite Chair,Chair,Composite,Green,C1-R1,406,Urban Living,20/08/2025,"Cozy Green Composite Chair - Composite Green design, sourced from Urban Living."
DSK-F-RED-0003,Stylish Fabric Desk,Desk,Fabric,Red,A3-R3,453,EverWood,15/05/2025,"Stylish Fabric Desk - Fabric Red design, sourced from EverWood."
STL-W-WHT-0004,Vintage White Wood Stool,Stool,Wood,White,A5-R2,14,Nova Supplies,20/01/2025,"Vintage White Wood Stool - Wood White design, sourced from Nova Supplies."
CNS-F-WHT-0003,Vintage Fabric Console,Console,Fabric,White,B5-R1,59,FurniWorld,28/05/2025,"Vintage Fabric Console - Fabric White design, sourced from FurniWorld."
BSF-M-RED-0003,Elegant Metal Bookshelf,Bookshelf,Metal,Red,D4-R4,162,Nova Supplies,04/12/2024,"Elegant Metal Bookshelf - Metal Red design, sourced from Nova Supplies."
CNS-P-GRY-0008,Stylish Plastic Console,Console,Plastic,Grey,B3-R4,237,Urban Living,14/12/2024,"Stylish Plastic Console - Plastic Grey design, sourced from Urban Living."
BSF-F-NAT-0005,Deluxe Fabric Bookshelf,Bookshelf,Fabric,Natural,B1-R4,21,EverWood,30/04/2025,"Deluxe Fabric Bookshelf - Fabric Natural design, sourced from EverWood."
TAB-G-OAK-0005,Vintage Glass Table,Table,Glass,Oak,D2-R2,13,Nova Supplies,21/09/2025,"Vintage Glass Table - Glass Oak design, sourced from Nova Supplies."
BED-M-BLK-0005,Compact Black Metal Bed,Bed,Metal,Black,D3-R1,389,Homedecor Co.,18/10/2025,"Compact Black Metal Bed - Metal Black design, sourced from Homedecor Co.."
CAB-M-WHT-0003,Modern Metal Cabinet,Cabinet,Metal,White,A3-R3,90,Urban Living,22/09/2025,"Modern Metal Cabinet - Metal White design, sourced from Urban Living."
CHR-W-BRN-0001,Deluxe Brown Wood Chair,Chair,Wood,Brown,D2-R2,339,FurniWorld,10/11/2024,"Deluxe Brown Wood Chair - Wood Brown design, sourced from FurniWorld."
DSK-F-BLU-0002,Minimal Fabric Desk,Desk,Fabric,Blue,C4-R2,274,ComfortLine,18/04/2025,"Minimal Fabric Desk - Fabric Blue design, sourced from ComfortLine."
CAB-L-BLK-0006,Vintage Leather Cabinet,Cabinet,Leather,Black,A4-R3,271,Nova Supplies,28/06/2025,"Vintage Leather Cabinet - Leather Black design, sourced from Nova Supplies."
STL-L-BLU-0003,Deluxe Blue Leather Stool,Stool,Leather,Blue,B5-R4,384,Urban Living,30/11/2024,"Deluxe Blue Leather Stool - Leather Blue design, sourced from Urban Living."
SOF-L-BLU-0003,Elegant Blue Leather Sofa,Sofa,Leather,Blue,D4-R1,475,ComfortLine,28/03/2025,"Elegant Blue Leather Sofa - Leather Blue design, sourced from ComfortLine."
WRD-C-GRY-0005,Premium Composite Wardrobe,Wardrobe,Composite,Grey,D2-R3,167,EverWood,18/12/2024,"Premium Composite Wardrobe - Composite Grey design, sourced from EverWood."
BSF-R-BLU-0003,Deluxe Rattan Bookshelf,Bookshelf,Rattan,Blue,A4-R4,305,EverWood,04/09/2025,"Deluxe Rattan Bookshelf - Rattan Blue design, sourced from EverWood."
BED-R-WHT-0008,Modern White Rattan Bed,Bed,Rattan,White,D5-R3,72,EverWood,27/08/2025,"Modern White Rattan Bed - Rattan White design, sourced from EverWood."
CHR-W-GRY-0003,Elegant Grey Wood Chair,Chair,Wood,Grey,A1-R3,156,FurniWorld,17/10/2025,"Elegant Grey Wood Chair - Wood Grey design, sourced from FurniWorld."
CAB-F-NAT-0004,Deluxe Fabric Cabinet,Cabinet,Fabric,Natural,D3-R1,111,FurniWorld,18/06/2025,"Deluxe Fabric Cabinet - Fabric Natural design, sourced from FurniWorld."
CNS-C-BGE-0003,Vintage Composite Console,Console,Composite,Beige,A4-R3,46,ComfortLine,30/12/2024,"Vintage Composite Console - Composite Beige design, sourced from ComfortLine."
DRS-F-BLU-0001,Vintage Fabric Dresser,Dresser,Fabric,Blue,D5-R3,304,Global Furnish,19/01/2025,"Vintage Fabric Dresser - Fabric Blue design, sourced from Global Furnish."
CNS-W-WHT-0002,Minimal Wood Console,Console,Wood,White,B2-R2,56,Homedecor Co.,11/10/2025,"Minimal Wood Console - Wood White design, sourced from Homedecor Co.."
BED-P-BLU-0002,Stylish Blue Plastic Bed,Bed,Plastic,Blue,A1-R3,377,Urban Living,13/11/2024,"Stylish Blue Plastic Bed - Plastic Blue design, sourced from Urban Living."
SOF-L-RED-0003,Premium Red Leather Sofa,Sofa,Leather,Red,B2-R2,382,Urban Living,06/02/2025,"Premium Red Leather Sofa - Leather Red design, sourced from Urban Living."
DSK-M-BGE-0005,Stylish Metal Desk,Desk,Metal,Beige,B2-R1,446,FurniWorld,08/11/2025,"Stylish Metal Desk - Metal Beige design, sourced from FurniWorld."
DSK-L-BRN-0005,Elegant Leather Desk,Desk,Leather,Brown,B4-R3,125,Classic Interiors,01/02/2025,"Elegant Leather Desk - Leather Brown design, sourced from Classic Interiors."
CNS-L-BRN-0005,Minimal Leather Console,Console,Leather,Brown,B1-R1,473,EverWood,29/12/2024,"Minimal Leather Console - Leather Brown design, sourced from EverWood."
CHR-L-RED-0003,Cozy Red Leather Chair,Chair,Leather,Red,C3-R3,273,EverWood,18/08/2025,"Cozy Red Leather Chair - Leather Red design, sourced from EverWood."
DRS-P-GRY-0002,Compact Plastic Dresser,Dresser,Plastic,Grey,B1-R3,432,Classic Interiors,26/02/2025,"Compact Plastic Dresser - Plastic Grey design, sourced from Classic Interiors."
BNH-P-GRY-0002,Compact Grey Plastic Bench,Bench,Plastic,Grey,D1-R2,208,FurniWorld,24/02/2025,"Compact Grey Plastic Bench - Plastic Grey design, sourced from FurniWorld."
DSK-W-BGE-0003,Stylish Wood Desk,Desk,Wood,Beige,B1-R3,203,ComfortLine,17/09/2025,"Stylish Wood Desk - Wood Beige design, sourced from ComfortLine."
BED-P-BGE-0002,Deluxe Beige Plastic Bed,Bed,Plastic,Beige,A4-R2,0,FurniWorld,04/08/2025,"Deluxe Beige Plastic Bed - Plastic Beige design, sourced from FurniWorld."
CHR-F-GRY-0004,Compact Grey Fabric Chair,Chair,Fabric,Grey,D5-R2,78,FurniWorld,30/11/2024,"Compact Grey Fabric Chair - Fabric Grey design, sourced from FurniWorld."
STL-M-BRN-0003,Elegant Brown Metal Stool,Stool,Metal,Brown,C5-R4,377,FurniWorld,12/02/2025,"Elegant Brown Metal Stool - Metal Brown design, sourced from FurniWorld."
DRS-G-RED-0002,Stylish Glass Dresser,Dresser,Glass,Red,D1-R2,252,EverWood,22/09/2025,"Stylish Glass Dresser - Glass Red design, sourced from EverWood."
WRD-L-BLU-0002,Premium Leather Wardrobe,Wardrobe,Leather,Blue,D4-R3,85,Homedecor Co.,19/12/2024,"Premium Leather Wardrobe - Leather Blue design, sourced from Homedecor Co.."
STL-W-OAK-0004,Compact Oak Wood Stool,Stool,Wood,Oak,A3-R2,318,Urban Living,15/03/2025,"Compact Oak Wood Stool - Wood Oak design, sourced from Urban Living."
BNH-C-BLU-0006,Modern Blue Composite Bench,Bench,Composite,Blue,C5-R3,470,FurniWorld,13/05/2025,"Modern Blue Composite Bench - Composite Blue design, sourced from FurniWorld."
BNH-P-NAT-0006,Minimal Natural Plastic Bench,Bench,Plastic,Natural,B3-R4,277,Global Furnish,14/05/2025,"Minimal Natural Plastic Bench - Plastic Natural design, sourced from Global Furnish."
WRD-C-WHT-0003,Classic Composite Wardrobe,Wardrobe,Composite,White,A5-R4,359,EverWood,01/05/2025,"Classic Composite Wardrobe - Composite White design, sourced from EverWood."
DSK-P-BGE-0003,Stylish Plastic Desk,Desk,Plastic,Beige,B1-R2,313,Nova Supplies,19/01/2025,"Stylish Plastic Desk - Plastic Beige design, sourced from Nova Supplies."
TAB-F-BRN-0005,Cozy Fabric Table,Table,Fabric,Brown,B2-R3,157,Urban Living,18/05/2025,"Cozy Fabric Table - Fabric Brown design, sourced from Urban Living."
DSK-M-NAT-0003,Deluxe Metal Desk,Desk,Metal,Natural,C4-R4,321,Homedecor Co.,27/03/2025,"Deluxe Metal Desk - Metal Natural design, sourced from Homedecor Co.."
CNS-R-WHT-0004,Vintage Rattan Console,Console,Rattan,White,D5-R2,11,ComfortLine,25/06/2025,"Vintage Rattan Console - Rattan White design, sourced from ComfortLine."
WRD-C-WHT-0004,Vintage Composite Wardrobe,Wardrobe,Composite,White,C4-R1,216,Global Furnish,08/10/2025,"Vintage Composite Wardrobe - Composite White design, sourced from Global Furnish."
DRS-P-GRN-0002,Classic Plastic Dresser,Dresser,Plastic,Green,D3-R4,1,ComfortLine,05/06/2025,"Classic Plastic Dresser - Plastic Green design, sourced from ComfortLine."
WRD-C-OAK-0001,Minimal Composite Wardrobe,Wardrobe,Composite,Oak,C2-R2,351,Global Furnish,16/04/2025,"Minimal Composite Wardrobe - Composite Oak design, sourced from Global Furnish."
CAB-W-BGE-0003,Compact Wood Cabinet,Cabinet,Wood,Beige,D5-R2,410,Global Furnish,13/09/2025,"Compact Wood Cabinet - Wood Beige design, sourced from Global Furnish."
BSF-C-GRY-0004,Deluxe Composite Bookshelf,Bookshelf,Composite,Grey,C5-R3,265,Nova Supplies,27/07/2025,"Deluxe Composite Bookshelf - Composite Grey design, sourced from Nova Supplies."
BSF-W-BLU-0003,Deluxe Wood Bookshelf,Bookshelf,Wood,Blue,D4-R3,273,Homedecor Co.,27/06/2025,"Deluxe Wood Bookshelf - Wood Blue design, sourced from Homedecor Co.."
CAB-G-RED-0005,Vintage Glass Cabinet,Cabinet,Glass,Red,B1-R2,339,EverWood,04/11/2025,"Vintage Glass Cabinet - Glass Red design, sourced from EverWood."
DSK-F-BLK-0004,Classic Fabric Desk,Desk,Fabric,Black,B1-R1,204,Urban Living,20/03/2025,"Classic Fabric Desk - Fabric Black design, sourced from Urban Living."
SOF-P-BLU-0003,Deluxe Blue Plastic Sofa,Sofa,Plastic,Blue,D3-R3,308,Homedecor Co.,31/10/2025,"Deluxe Blue Plastic Sofa - Plastic Blue design, sourced from Homedecor Co.."
STL-F-OAK-0006,Minimal Oak Fabric Stool,Stool,Fabric,Oak,B4-R1,183,FurniWorld,19/07/2025,"Minimal Oak Fabric Stool - Fabric Oak design, sourced from FurniWorld."
SOF-M-RED-0004,Premium Red Metal Sofa,Sofa,Metal,Red,D1-R2,156,Classic Interiors,28/12/2024,"Premium Red Metal Sofa - Metal Red design, sourced from Classic Interiors."
BNH-C-OAK-0003,Modern Oak Composite Bench,Bench,Composite,Oak,D3-R3,177,EverWood,11/07/2025,"Modern Oak Composite Bench - Composite Oak design, sourced from EverWood."
SOF-F-GRN-0003,Premium Green Fabric Sofa,Sofa,Fabric,Green,A1-R2,24,Homedecor Co.,24/07/2025,"Premium Green Fabric Sofa - Fabric Green design, sourced from Homedecor Co.."
SOF-G-BLU-0004,Stylish Blue Glass Sofa,Sofa,Glass,Blue,A4-R2,303,Nova Supplies,14/12/2024,"Stylish Blue Glass Sofa - Glass Blue design, sourced from Nova Supplies."
BED-L-BRN-0005,Stylish Brown Leather Bed,Bed,Leather,Brown,B5-R2,49,Global Furnish,24/01/2025,"Stylish Brown Leather Bed - Leather Brown design, sourced from Global Furnish."
BED-C-BGE-0001,Deluxe Beige Composite Bed,Bed,Composite,Beige,C4-R4,229,Homedecor Co.,25/02/2025,"Deluxe Beige Composite Bed - Composite Beige design, sourced from Homedecor Co.."
DRS-L-BLK-0003,Minimal Leather Dresser,Dresser,Leather,Black,D1-R1,82,EverWood,15/12/2024,"Minimal Leather Dresser - Leather Black design, sourced from EverWood."
SOF-L-BLK-0007,Compact Black Leather Sofa,Sofa,Leather,Black,C4-R3,190,FurniWorld,16/10/2025,"Compact Black Leather Sofa - Leather Black design, sourced from FurniWorld."
BED-R-OAK-0007,Deluxe Oak Rattan Bed,Bed,Rattan,Oak,B4-R1,67,Homedecor Co.,22/04/2025,"Deluxe Oak Rattan Bed - Rattan Oak design, sourced from Homedecor Co.."
DRS-R-BRN-0004,Stylish Rattan Dresser,Dresser,Rattan,Brown,D3-R4,462,EverWood,02/05/2025,"Stylish Rattan Dresser - Rattan Brown design, sourced from EverWood."
CHR-R-RED-0006,Stylish Red Rattan Chair,Chair,Rattan,Red,A5-R3,403,Urban Living,11/09/2025,"Stylish Red Rattan Chair - Rattan Red design, sourced from Urban Living."
DSK-G-NAT-0004,Vintage Glass Desk,Desk,Glass,Natural,C4-R4,446,ComfortLine,31/08/2025,"Vintage Glass Desk - Glass Natural design, sourced from ComfortLine."
DSK-P-WHT-0008,Elegant Plastic Desk,Desk,Plastic,White,B1-R4,63,Homedecor Co.,24/05/2025,"Elegant Plastic Desk - Plastic White design, sourced from Homedecor Co.."
BED-M-OAK-0007,Cozy Oak Metal Bed,Bed,Metal,Oak,A1-R4,132,ComfortLine,05/06/2025,"Cozy Oak Metal Bed - Metal Oak design, sourced from ComfortLine."
DRS-P-OAK-0003,Minimal Plastic Dresser,Dresser,Plastic,Oak,B5-R1,350,Nova Supplies,03/05/2025,"Minimal Plastic Dresser - Plastic Oak design, sourced from Nova Supplies."
BNH-M-NAT-0004,Stylish Natural Metal Bench,Bench,Metal,Natural,C1-R2,87,FurniWorld,14/07/2025,"Stylish Natural Metal Bench - Metal Natural design, sourced from FurniWorld."
STL-M-BRN-0004,Classic Brown Metal Stool,Stool,Metal,Brown,D1-R3,425,FurniWorld,31/08/2025,"Classic Brown Metal Stool - Metal Brown design, sourced from FurniWorld."
CAB-G-BRN-0005,Compact Glass Cabinet,Cabinet,Glass,Brown,A4-R2,85,Homedecor Co.,08/11/2025,"Compact Glass Cabinet - Glass Brown design, sourced from Homedecor Co.."
CNS-M-BLU-0002,Elegant Metal Console,Console,Metal,Blue,B1-R4,484,FurniWorld,06/10/2025,"Elegant Metal Console - Metal Blue design, sourced from FurniWorld."
CNS-C-GRY-0007,Elegant Composite Console,Console,Composite,Grey,C5-R4,253,Urban Living,06/04/2025,"Elegant Composite Console - Composite Grey design, sourced from Urban Living."
CAB-M-NAT-0004,Premium Metal Cabinet,Cabinet,Metal,Natural,D3-R4,164,Nova Supplies,30/01/2025,"Premium Metal Cabinet - Metal Natural design, sourced from Nova Supplies."
DSK-F-WHT-0004,Vintage Fabric Desk,Desk,Fabric,White,B5-R4,87,Nova Supplies,30/08/2025,"Vintage Fabric Desk - Fabric White design, sourced from Nova Supplies."
CNS-G-BLK-0004,Stylish Glass Console,Console,Glass,Black,A4-R3,500,Nova Supplies,04/03/2025,"Stylish Glass Console - Glass Black design, sourced from Nova Supplies."
DSK-W-GRN-0005,Modern Wood Desk,Desk,Wood,Green,A2-R4,172,Homedecor Co.,12/02/2025,"Modern Wood Desk - Wood Green design, sourced from Homedecor Co.."
WRD-L-BRN-0003,Deluxe Leather Wardrobe,Wardrobe,Leather,Brown,D5-R1,47,Global Furnish,25/03/2025,"Deluxe Leather Wardrobe - Leather Brown design, sourced from Global Furnish."
DRS-R-OAK-0005,Cozy Rattan Dresser,Dresser,Rattan,Oak,B3-R2,391,Nova Supplies,18/12/2024,"Cozy Rattan Dresser - Rattan Oak design, sourced from Nova Supplies."
BED-G-WHT-0003,Deluxe White Glass Bed,Bed,Glass,White,C5-R1,447,Global Furnish,13/09/2025,"Deluxe White Glass Bed - Glass White design, sourced from Global Furnish."
DRS-W-BRN-0006,Vintage Wood Dresser,Dresser,Wood,Brown,B5-R3,359,ComfortLine,30/07/2025,"Vintage Wood Dresser - Wood Brown design, sourced from ComfortLine."
CAB-R-NAT-0005,Compact Rattan Cabinet,Cabinet,Rattan,Natural,A2-R1,170,Classic Interiors,04/03/2025,"Compact Rattan Cabinet - Rattan Natural design, sourced from Classic Interiors."
STL-L-GRY-0004,Compact Grey Leather Stool,Stool,Leather,Grey,A4-R4,271,Classic Interiors,08/04/2025,"Compact Grey Leather Stool - Leather Grey design, sourced from Classic Interiors."
TAB-W-GRY-0006,Compact Wood Table,Table,Wood,Grey,D2-R3,470,Urban Living,05/04/2025,"Compact Wood Table - Wood Grey design, sourced from Urban Living."
SOF-C-BGE-0004,Minimal Beige Composite Sofa,Sofa,Composite,Beige,B1-R3,415,FurniWorld,13/05/2025,"Minimal Beige Composite Sofa - Composite Beige design, sourced from FurniWorld."
